@relation ceratocystis1
% ceratocystis_test_90_10_rgb_11_fs9_res1

@attribute feature2 numeric
@attribute feature5 numeric
@attribute feature23 numeric
@attribute feature27 numeric
@attribute feature32 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature45 numeric
@attribute class {1,2,3}

@data
130.9,51.9459,16,130.516173,4.056816,259,298,588,1
128.92,23.0676,12,127.052963,5.257064,292,260,469,1
131.25,6.2259,6,131.281852,4.369883,218,307,693,1
133.08,6.5784,2,131.879753,3.234583,210,280,656,1
113.43,661.0499,4,105.302963,57.442246,430,425,487,2
113.72,1203.3011,3,109.189136,164.387133,383,420,506,2
114.11,434.5344,9,106.253704,175.900696,462,445,507,2
104.27,560.7116,7,106.298395,76.129204,340,465,531,2
111.85,1187.1899,3,110.867778,142.9486,315,374,449,2
102.65,1362.8139,11,108.697654,215.147018,426,439,494,2
119.13,126.4316,4,111.54716,183.685025,351,415,489,2
107.32,962.7584,12,107.208765,106.616514,357,451,517,2
107.76,619.3251,5,106.507284,58.542769,336,387,526,2
112.11,312.3819,6,106.525556,195.93695,452,449,513,2
117.1,806.5275,7,110.81284,90.140265,357,417,503,2
119.29,206.1696,7,117.669506,109.441154,389,445,594,2
108.27,395.4379,6,109.248765,106.987915,325,497,565,2
101.95,274.9324,8,106.731481,110.916798,363,515,558,2
103.46,57.5851,11,105.610123,55.0068,415,380,480,2
104.04,144.4019,6,107.11037,128.951728,362,488,553,2
107.01,2291.9864,8,106.429136,163.314115,424,480,543,2
111.54,1034.8224,5,106.224691,123.189305,350,452,507,2
113.56,2607.1819,4,107.414074,186.02434,435,440,477,2
107.44,1045.7364,0,106.782099,198.278129,409,439,469,2
106.21,642.0731,10,106.414074,137.343894,404,489,500,2
107.28,487.5324,5,111.679753,78.770322,356,445,524,2
103.56,395.8459,12,108.065185,213.412557,404,460,473,2
110.14,729.8251,4,106.049383,60.365003,388,451,518,2
103.06,280.41,3,104.909136,56.988021,391,446,530,2
120.76,58.2644,9,110.724444,111.792713,376,442,505,2
105.02,773.7524,8,107.091235,169.928079,392,465,492,2
103.96,1019.3371,9,107.203457,118.386707,335,502,538,2
115.13,1012.2924,3,106.962469,111.412073,370,483,531,2
105.63,563.3219,9,108.598765,122.868057,422,428,469,2
105.03,228.48,11,105.236296,70.201168,342,482,533,2
108.25,506.4875,14,105.377284,85.960846,367,450,495,2
111.08,2569.7459,4,109.498889,114.832114,334,423,454,2
108.79,934.5275,3,105.748889,196606,422,448,480,2
110.88,2748.0564,1,110.448642,178.015899,356,462,520,2
101.14,604.7075,4,109.045185,209.936019,410,439,492,2
104.02,353.48,7,104.504568,171.157846,466,430,476,2
113.86,170.2356,4,110.841481,142.011083,438,407,512,2
109.93,998.5179,4,115.650123,107.772492,390,441,563,2
105.73,678.6275,6,108.011358,114.101216,377,440,512,2
105.19,156.44,5,106.799383,115.250684,384,422,479,2
105.29,354.45,8,104.152716,69.918099,283,441,557,2
109.78,657.7059,12,107.383457,170.481827,384,416,467,2
121.62,220.5859,14,109.412963,205.380935,383,384,467,2
107.88,706.0176,3,105.568395,46.061039,354,472,530,2
106.27,312.3284,16,103.986543,59.027446,287,446,565,2
106.08,401.8256,2,107.59037,131.600778,299,501,526,2
117.86,258.0059,9,110.872963,186.64342,346,448,470,2
108.08,1299.2736,3,109.702716,105.299259,369,488,523,2
112.49,1491.7299,7,107.630864,140.396657,412,421,454,2
101.45,432.5664,4,104.358889,106.511826,446,448,506,2
105.83,638.8844,9,107.751728,183.990205,377,405,476,2
107.43,258.7184,5,107.109753,88.50971,327,508,552,2
113.02,242.1219,9,107.64,105.247346,355,509,564,2
107.99,3100.7891,12,107.251235,121.199071,421,464,495,2
110.47,505.6936,7,108.482346,155.667318,441,437,474,2
109.25,1052.8924,6,108.007531,157.580133,459,431,510,2
106.84,2298.7024,1,104.510741,114.274918,317,538,506,2
106.72,426.7075,9,105.872222,137.56146,412,457,529,2
111.09,595.8636,3,108.746543,145.572926,387,492,543,2
128.21,169.78,10,113.756296,214.165796,370,442,530,2
102.69,419.35,4,108.076667,156.805894,470,436,477,2
104.79,401.2099,10,105.825679,103.601521,344,508,601,2
104.02,987.2716,2,104.819383,58.567818,417,412,504,2
102.78,124.3004,7,106.198395,141.965979,400,487,538,2
117.89,215.3764,6,110.403457,186.651479,352,462,512,2
107.14,317.1384,5,105.558889,61.226378,387,395,464,2
114.54,440.2704,5,106.90679,163.661384,479,436,474,2
101.57,147.5396,8,105.845926,169.718072,393,410,486,2
100.83,679.9691,9,104.350988,216.829422,479,410,467,2
103.66,260.1011,8,107.416173,130.478152,345,475,554,2
102.1,215.7044,3,107.637037,108.305415,379,456,499,2
98.6,64.8659,3,106.037407,80.596796,331,407,498,2
104.06,537.2499,6,107.671358,167.124221,421,427,459,2
103.15,408.6076,7,104.853827,118.028095,390,423,446,2
112.51,668.0931,5,111.859259,79.321957,365,434,488,2
104.41,215.1891,9,107.368272,132.417819,380,462,497,2
100.75,650.0924,2,106.635556,133.591813,402,441,544,2
101.57,179.22,5,105.422346,153.914716,482,478,482,2
107.05,563.3764,2,109.113457,142.282512,346,462,534,2
99.72,1128.9776,5,105.735679,257.038407,457,405,440,2
118.84,206.1136,12,109.088889,127.929678,340,406,485,2
111.06,342.1291,3,108.21037,169.324057,302,406,483,2
106.51,471.9856,6,105.811728,55.460773,351,463,514,2
113.82,281.3456,9,108.445802,163.095328,431,480,488,2
104.9,431.3571,5,105.388272,64.505994,329,484,574,2
112.76,1461.5496,6,108.575802,113.370123,417,446,513,2
107.18,392.7504,7,109.523457,89.58935,383,474,528,2
110.07,2636.7764,2,106.091852,112.915377,387,423,450,2
107.89,1159.92,7,104.58321,180.015952,396,478,534,2
115.55,212.5251,2,110.853827,194.686511,358,477,538,2
107.05,1107.3419,2,105.339506,63.76744,426,411,481,2
111.68,298.5739,10,109.637901,78.386529,354,436,531,2
105.69,210.61,4,104.861358,85.527037,350,467,542,2
109.58,705.3491,8,106.664444,118.051077,403,461,520,2
117.31,404.3219,2,108.521481,162.047598,452,426,479,2
120.16,78.8219,7,112.921605,161.506012,433,497,550,2
104.82,526.9275,8,106.141481,91.971207,339,515,545,2
113.26,334.3691,3,108.137654,82.25873,356,497,576,2
100.04,557.1484,5,108.587284,179.317432,552,439,471,2
103.29,471.5571,4,105.575309,148.527969,444,438,456,2
111.08,1346.2875,4,105.888395,189.358444,590,468,519,2
108.23,1683.0819,3,106.081235,93.542887,400,472,543,2
107.78,732.0275,3,102.465185,72.160493,278,407,545,2
103.94,640.9979,1,105.561605,107.235221,424,520,587,2
106.63,1064.48,6,105.964198,62.146406,391,422,509,2
100.25,386.1179,9,105.378765,127.851307,423,448,503,2
113.32,315.0804,9,109.759877,115.974938,352,483,571,2
104.66,114.5699,6,109.100123,146.515759,368,446,497,2
105.37,537.8891,9,106.424321,169.545783,363,395,450,2
99.18,603.6304,6,105.665062,192.831763,448,437,488,2
106.01,1824.8571,9,106.709012,202.711636,445,460,490,2
104.04,530.6131,5,110.981358,106.87503,382,452,483,2
119.41,186.9244,3,110.646296,144.887007,442,431,474,2
103.57,720.2491,4,107.761111,181.679306,581,415,478,2
104.29,669.8516,8,106.42642,110.189713,568,470,503,2
114.4,465.8024,2,108.652222,158.192217,429,480,507,2
109.66,278.24,4,112.156296,168.443893,396,484,560,2
104.25,395.5131,6,109.298519,208.949413,353,410,526,2
102.65,820.1,7,105.118395,97.375246,612,457,483,2
113.33,350.9619,5,108.252222,211.130902,408,507,544,2
122.84,48.6204,13,113.739506,117.537777,382,430,514,2
108.27,468.6811,6,104.70679,33.454538,317,448,569,2
105.32,901.5099,5,108.100494,66.894279,343,522,569,2
105.26,466.3904,2,107.286049,87.593099,338,478,529,2
111.77,2175.1075,11,109.792716,196.555752,406,448,497,2
104.29,180.4484,2,106.216173,87.764449,317,453,536,2
111.67,142.2891,7,109.298889,170.813752,348,481,555,2
108.28,1427.8,1,106.87679,167.430799,468,481,501,2
103.01,13.86,4,102.730988,37.45102,298,405,567,2
112.41,139.7136,5,109.073704,87.541432,322,396,488,2
103.84,1001.5939,4,106.446543,116.851527,402,428,478,2
100.64,319.2124,7,108.243704,206.701096,361,407,488,2
112.99,359.41,9,106.544074,162.35286,434,445,509,2
101.03,410.9184,8,104.888642,115.758337,404,431,517,2
107.15,773.4459,6,105.477654,68.534016,344,452,542,2
106.11,447.0744,4,107.41642,148.340016,532,492,543,2
115.95,340.8056,10,107.837284,108.058612,351,490,535,2
104.65,1279.7571,5,105.447531,152.056617,453,460,536,2
118.42,338.83,9,109.71321,187.804478,433,438,494,2
103.42,222.3699,5,105.615309,108.731238,425,463,516,2
107.67,98.5171,7,106.981728,58.393612,318,411,527,2
104.53,251.0531,4,104.689383,102.776159,346,479,568,2
103.08,267.4856,8,106.160494,97.66266,442,416,504,2
113.79,957.95,6,106.921975,311.58921,433,411,467,2
109.73,283.7131,5,106.897531,87.780439,374,430,528,2
98.82,572.4211,4,107.344568,181.643457,363,432,490,2
110.91,192.5979,11,107.320741,122.563726,360,508,533,2
117.04,798.6284,6,107.888272,203.531498,398,397,465,2
102.28,58.8776,9,104.332469,78.43725,338,411,501,2
107.44,3854.8596,4,106.977284,220.243422,379,473,559,2
107.67,532.9716,5,107.334074,105.696182,384,480,533,2
108.16,260.9036,9,109.613704,99.081742,416,412,470,2
102.33,1162.3875,10,105.69,171.168871,413,431,451,2
102.28,250.4224,6,109.274074,169.454993,376,466,521,2
110.8,2174.8875,5,106.465802,125.485017,395,486,566,2
106.41,871.4336,17,103.863086,68.070358,310,395,528,2
115.55,371.5811,4,111.321852,109.910988,383,443,497,2
103.3,87.2771,3,103.386667,39.13188,281,410,580,2
126.23,21.1371,6,111.851728,165.915432,430,432,493,2
100.32,246.54,5,107.200988,211.043298,364,356,453,2
102.15,373.8244,2,108.31963,141.339794,414,497,520,2
101.64,13.3764,8,102.909012,41.14057,273,368,546,2
102.52,309.9299,7,106.978889,140.043695,359,483,518,2
103.8,1579.8144,4,105.449506,199.388117,453,449,463,2
102.07,346.0731,5,105.279136,83.72595,343,459,488,2
102.6,371.2875,5,104.726914,102.773464,322,452,546,2
105.17,682.1619,7,107.535432,148.778034,395,407,492,2
115.89,201.3044,10,112.854321,161.220415,436,535,554,2
103.11,169.4336,2,107.578889,117.764549,326,444,550,2
104.05,298.8976,9,111.805926,201.392034,384,471,516,2
100.21,508.3259,7,104.415679,203.82519,467,462,530,2
102.87,343.0475,6,106.053951,103.028994,441,473,525,2
102.67,126.8859,1,103.661358,42.686023,287,362,499,2
103.82,1433.3819,9,105.977654,181.905545,463,487,505,2
108.09,1110.3171,2,108.767901,120.283978,348,368,446,2
103.76,187.0051,8,105.531605,81.709802,396,472,535,2
109.52,924.6931,3,110.869383,106.444746,357,485,570,2
106.79,1014.5491,5,107.291481,72.452949,368,425,465,2
102.59,778.4444,9,106.050988,223.317004,412,478,526,2
104.79,395.0291,4,113.943704,80.067948,428,416,474,2
100.1,701.3051,13,105.318272,114.147569,407,441,522,2
105.98,391.9475,6,111.548148,93.597559,359,439,504,2
105.38,215.1131,6,108.699012,110.212297,350,442,480,2
124.37,50.38,13,117.161728,127.08394,388,444,548,2
104.41,483.1059,8,107.719383,129.608454,384,472,520,2
101.22,292.4459,8,106.951728,77.902402,331,516,517,2
119.79,957.5,5,107.356543,190.459827,453,428,438,2
119.35,148.5664,8,111.650741,99.472021,339,400,490,2
108.07,994.2451,5,115.530247,121.782068,355,459,572,2
108.34,764.3531,6,107.608395,167.165946,355,421,476,2
105.95,721.8731,2,106.64,122.036795,389,521,614,2
109.49,3426.6459,5,104.474691,202.444107,440,452,490,2
100.41,15.4139,2,102.765309,35.872848,297,422,572,2
108.87,704.9579,13,111.118765,99.990657,421,513,536,2
117.51,119.8876,10,112.382716,81.549109,331,420,491,2
103.41,409.5971,5,106.529877,67.945191,359,458,512,2
102.7,172.1904,2,105.665185,66.220202,393,447,501,2
106.93,1138.2011,5,106.136667,148.287569,397,434,514,2
104.2,599.7475,2,109.247037,148.915071,377,407,480,2
108.1,302.54,3,107.188272,94.525137,354,455,498,2
106.73,118.8204,8,106.96358,53.487504,342,420,513,2
