@relation 'ceratocystis_test_90_10_rgb_11-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.instance.Resample-B1.0-S1-Z20.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute feature2 numeric
@attribute feature5 numeric
@attribute feature23 numeric
@attribute feature27 numeric
@attribute feature32 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature45 numeric
@attribute class {0,1,2}

@data
131.96,6.9336,13,130.130494,12.166044,236,333,631,0
132.63,2.21,9,132.038519,3.107211,203,419,916,0
130.21,40.7164,8,131.256667,7.856616,237,390,758,0
132.7,14.4731,20,131.528519,4.266504,236,314,734,0
130,15.8571,7,126.977778,13.017117,245,314,553,0
132.21,13.6371,16,131.84,6.542299,211,299,599,0
132.66,4.5075,3,130.971235,3.841555,188,295,690,0
128.49,19.9331,2,127.720123,21.887442,246,325,587,0
131,75.4539,1,127.289753,3.935973,242,506,951,0
131.19,47.3124,13,129.517654,6.898023,196,310,660,0
129.02,11.9739,11,125.76679,32.032765,265,306,495,0
132.41,13.91,14,128.79358,10.300349,247,278,536,0
133.22,10.6475,17,132.028889,4.006472,210,408,922,0
131.72,12.0779,29,130.870617,4.416128,221,278,573,0
131.18,9.4611,7,131.865309,17.616414,219,369,679,0
128.83,59.4619,12,128.374321,8.63716,220,334,558,0
